# SSG Migration Database
# source_lib	source_path	ssg_path	status	module	last_updated	notes	source_sync_commit	last_sync_date
flexmark	flexmark-ext-aside/src/main/java/com/vladsch/flexmark/ext/aside/internal/AsideNodeFormatter.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-aside/src/main/java/com/vladsch/flexmark/ext/aside/internal/AsideNodeRenderer.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-aside/src/main/java/com/vladsch/flexmark/ext/aside/internal/AsideOptions.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-aside/src/main/java/com/vladsch/flexmark/ext/aside/internal/package-info.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-aside/src/main/java/com/vladsch/flexmark/ext/aside/package-info.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-attributes/src/main/java/com/vladsch/flexmark/ext/attributes/AttributeImplicitName.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-attributes/src/main/java/com/vladsch/flexmark/ext/attributes/AttributeNode.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-attributes/src/main/java/com/vladsch/flexmark/ext/attributes/AttributeValueQuotes.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-attributes/src/main/java/com/vladsch/flexmark/ext/attributes/AttributesDelimiter.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-attributes/src/main/java/com/vladsch/flexmark/ext/attributes/AttributesExtension.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-attributes/src/main/java/com/vladsch/flexmark/ext/attributes/AttributesNode.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-attributes/src/main/java/com/vladsch/flexmark/ext/attributes/AttributesVisitor.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-attributes/src/main/java/com/vladsch/flexmark/ext/attributes/AttributesVisitorExt.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-attributes/src/main/java/com/vladsch/flexmark/ext/attributes/FencedCodeAddType.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-attributes/src/main/java/com/vladsch/flexmark/ext/attributes/internal/AttributeParsing.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-attributes/src/main/java/com/vladsch/flexmark/ext/attributes/internal/AttributesAttributeProvider.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-attributes/src/main/java/com/vladsch/flexmark/ext/attributes/internal/AttributesFormatOptions.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-attributes/src/main/java/com/vladsch/flexmark/ext/attributes/internal/AttributesInlineParserExtension.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-attributes/src/main/java/com/vladsch/flexmark/ext/attributes/internal/AttributesNodeFormatter.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-attributes/src/main/java/com/vladsch/flexmark/ext/attributes/internal/AttributesNodePostProcessor.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-attributes/src/main/java/com/vladsch/flexmark/ext/attributes/internal/AttributesNodeRenderer.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-attributes/src/main/java/com/vladsch/flexmark/ext/attributes/internal/AttributesOptions.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-attributes/src/main/java/com/vladsch/flexmark/ext/attributes/internal/NodeAttributeRepository.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-attributes/src/main/java/com/vladsch/flexmark/ext/attributes/internal/package-info.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-attributes/src/main/java/com/vladsch/flexmark/ext/attributes/package-info.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-autolink/src/main/java/com/vladsch/flexmark/ext/autolink/AutolinkExtension.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-autolink/src/main/java/com/vladsch/flexmark/ext/autolink/internal/AutolinkNodePostProcessor.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-autolink/src/main/java/com/vladsch/flexmark/ext/autolink/internal/package-info.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-autolink/src/main/java/com/vladsch/flexmark/ext/autolink/package-info.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-definition/src/main/java/com/vladsch/flexmark/ext/definition/DefinitionExtension.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-definition/src/main/java/com/vladsch/flexmark/ext/definition/DefinitionItem.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-definition/src/main/java/com/vladsch/flexmark/ext/definition/DefinitionList.java		not_started	ssg-md	2026-03-30			2026-03-30
